cc,pc,place_name,admin_name1,admin_code1,admin_name2,admin_code2,admin_name3,admin_code3,latitude,longitude,accuracy
JP,969-3112,Benzaitennishi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.4371,140.4706,3
JP,969-3112,Tsutsumi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.6286,139.968,4
JP,969-3113,Omichinishi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3586,140.5433,1
JP,969-3113,Toibamichishita,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3586,140.5433,1
JP,969-3113,Toiba,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3586,140.5433,1
JP,969-3113,Hanimachi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3586,140.5433,1
JP,969-3113,Tsuruminenishi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3586,140.5433,1
JP,969-3113,Kitahanzaka,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3586,140.5433,1
JP,969-3113,Hanzaka,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3586,140.5433,1
JP,969-3113,Tsutsumikita,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3586,140.5433,1
JP,969-3113,Shinchi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3586,140.5433,1
JP,969-3113,Machinishi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3586,140.5433,1
JP,969-3113,Chaen,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3586,140.5433,1
JP,969-3113,Hanimachinishiura,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3586,140.5433,1
JP,969-3113,Hanimachiminami,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3586,140.5433,1
JP,969-3113,Minamihanzaka,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3586,140.5433,1
JP,969-3113,Tsutsumishita,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3586,140.5433,1
JP,969-3113,Namisuginishi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.3586,140.5433,1
JP,969-3121,Nashinokinishi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3121,Tsuganesawa,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3121,Ashihara,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3121,Uramachi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3121,Terahigashi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3121,Kamizaruta,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3121,Yokomakuri,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
